All,الكل
Add New Customer Group,إضافة مجموعة جديدة من العملاء
Save Customer Group,حفظ مجموعة عملاء
Delete Customer Group,حذف مجموعة عملاء
New Customer Group,مجموعة عميل جديدة
Edit Customer Group "%1",تعديل مجموعة العملاء "%1"
Group Information,بيانات المجموعة
Group Name,اسم المجموعة
Maximum length must be less then %1 characters.,يجب أن يكون الحد الأقصى للطول أقل من %1 حرف.
Tax Class,الشريحة الضريبة
The customer is now assigned to Customer Group %s.,تم إسناد هذا العميل لمجموعة العميل %s.
Would you like to change the Customer Group for this order?,هل تريد تغيير مجموعة العميل لهذا الطلب؟
The VAT ID is valid.,رقم ضريبة القيمة المضافة (VAT) صحيح.
The VAT ID entered (%s) is not a valid VAT ID.,The VAT ID entered (%s) is not a valid VAT ID.
The VAT ID is valid. The current Customer Group will be used.,The VAT ID is valid. The current Customer Group will be used.
The VAT ID is valid but no Customer Group is assigned for it.,The VAT ID is valid but no Customer Group is assigned for it.
"Based on the VAT ID, the customer belongs to the Customer Group %s.",استناداً إلى "معرف الضريبة على القيمة المضافة"، '' العميل سينتمي إلى مجموعة العملاء %s.
Something went wrong while validating the VAT ID.,حدث خطأ أثناء تاكيد رقم ضريبة القيمة المضافة VAT.
The customer would belong to Customer Group %s.,The customer would belong to Customer Group %s.
There was an error detecting Customer Group.,There was an error detecting Customer Group.
Validate VAT Number,التحقق من صحة رقم ضريبة القيمة المضافة
Customer Login,تسجيل دخول العميل
Create New Customer Account,إنشاء حساب عميل جديد
Date of Birth,تاريخ الميلاد
Bad request.,طلب غير صحيح.
This confirmation key is invalid or has expired.,This confirmation key is invalid or has expired.
There was an error confirming the account,There was an error confirming the account
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.",إذا كنت أحد العملاء المسجلين في ضريبة القيمة المضافة، الرجاء انقر <a href="%1"> هنا</a> لإدخال عنوان الشحن الخاص بك لحساب الضريبة المناسبة على القيمة المضافة.
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.",إذا كنت أحد العملاء المسجلين في ضريبة القيمة المضافة، الرجاء انقر <a href="%1"> هنا</a> لإدخال عنوان الفوترة الخاص بك لحساب الضريبة المناسبة على القيمة المضافة.
Thank you for registering with %1.,شكرا لك للتسجيل في %1.
Please check your email for confirmation key.,الرجاء التحقق من بريدك الإلكتروني للحصول علي رمز التاكيد.
This email does not require confirmation.,This email does not require confirmation.
Wrong email.,بريد إلكتروني خاطئ.
Your password reset link has expired.,انتهت مدة صلاحية رابط إعادة تعيين كلمة المرور الخاصة بك.
You must confirm your account. Please check your email for the confirmation link or <a href="%1">click here</a> for a new link.,يجب عليك تأكد حسابك. الرجاء مراجعة بريدك الإلكتروني واتبع التعليمات أو <a href="%1"> انقر هنا</a> لاعادة ارسالة رسالة التاكيد.
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.",هناك بالفعل حساب مع عنوان البريد الإلكتروني هذا. إذا كنت متأكداً من أن ذلك هو عنوان البريد الإلكتروني الخاص بك، <a href="%1"> انقر هنا</a> للحصول على كلمة المرور والوصول إلى الحساب الخاص بك.
We can't save the customer.,لا يمكننا حفظ العميل.
Please make sure your passwords match.,رجاء تاكد من ان الرقم السري يتطابق.
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation."
Account Information,معلومات الحساب
You saved the account information.,قمت بحفظ بيانات الحساب.
You did not sign in correctly or your account is temporarily disabled.,لم تقم بتسجيل الدخول بشكل صحيح أو أن حسابك معطل مؤقتاً.
Password confirmation doesn't match entered password.,حقل تأكيد كلمة المرور لم يطابق حقل كلمة المرور.
The password doesn't match this account.,كلمة المرورلا تطابق الحساب.
Please correct the email address.,الرجاء تصحيح عنوان البريد الإلكتروني.
We're unable to send the password reset email.,نحن غير قادرين على إرسال إعادة تعيين كلمة المرور البريد الإلكتروني.
Please enter your email.,الرجاء ادخال بريدك الالكتروني.
If there is an account associated with %1 you will receive an email with a link to reset your password.,إذا كان هناك حساب مربوط بـ %1 سوف تتلقى رسالة بريد إلكتروني مع رابط لإعادة تعيين كلمة المرور الخاصة بك.
My Account,حسابي
This account is not confirmed. <a href="%1">Click here</a> to resend confirmation email.,لم يتم تأكيد هذا الحساب. <a href="%1"> انقر هنا</a> لإرسال تأكيد بالبريد الإلكتروني.
An unspecified error occurred. Please contact us for assistance.,An unspecified error occurred. Please contact us for assistance.
A login and a password are required.,تسجيل الدخول وكلمة المرور مطلوبين.
New Password and Confirm New Password values didn't match.,حقل تأكيد كلمة المرور و حقل كلمة المرور غير متطابقان.
Please enter a new password.,الرجاء إدخال كلمة مرور جديدة.
You updated your password.,تم تغيير كلمة المرور.
Something went wrong while saving the new password.,حدث خطأ أثناء حفظ كلمة المرور الجديدة.
You deleted the address.,لقد حذفت العنوان.
We can't delete the address right now.,نحن لا يمكننا حذف العنوان الآن.
You saved the address.,تم حفظت العنوان بنجاح.
We can't save the address.,نحن لا يمكننا حفظ العنوان.
No customer ID defined.,No customer ID defined.
Please correct the quote items and try again.,Please correct the quote items and try again.
You have revoked the customer's tokens.,تم إبطال الرموز المميزة للعميل.
We can't find a customer to revoke.,لا يمكن أن نجد أحد العملاء لإلغائه.
Something went wrong while saving file.,Something went wrong while saving file.
You deleted the customer group.,لقد حذفت مجوعة العميل.
The customer group no longer exists.,The customer group no longer exists.
Customers,العملاء
New Group,مجموعة جديدة
New Customer Groups,مجموعات العملاء الجديدة
Edit Group,تعديل مجموعة
Edit Customer Groups,تعديل مجموعات العملاء
You saved the customer group.,لقد حفظت مجوعة العميل.
Please select customer(s).,من فضلك اختر عميلا/عملاء.
Customer could not be deleted.,Customer could not be deleted.
You deleted the customer.,لقد حذفت العميل.
Something went wrong while editing the customer.,Something went wrong while editing the customer.
Manage Customers,إدارة العملاء
Please correct the data sent.,الرجاء تصحيح البيانات التي تم إرسالها.
A total of %1 record(s) were updated.,عدد %1 سجلات تم تحديثها.
A total of %1 record(s) were deleted.,تم حذف %1 من السجلات.
The customer will receive an email with a link to reset password.,العميل سوف يتلقى رسالة بريد إلكتروني مع رابط لإعادة تعيين كلمة المرور.
Something went wrong while resetting customer password.,حدث خطأ أثناء إعادة كلمة المرور.
You saved the customer.,You saved the customer.
Something went wrong while saving the customer.,Something went wrong while saving the customer.
Page not found.,لم يتم العثور على الصفحة.
Customer has been unlocked successfully.,Customer has been unlocked successfully.
Online Customers,مستخدمين متصلين
Customers Now Online,العملاء المتواجدون الآن
Please define Wish List item ID.,Please define Wish List item ID.
Please load Wish List item.,الرجاء تحميل عنصر قائمة الأمنيات.
Login successful.,تسجيل تسجيل الدخول بنجاح.
Invalid login or password.,البريد الإلكتروني أو كلمة المرور غير صحيحة.
"""%1"" section source is not supported","""%1"" section source is not supported"
%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface,لاتمتد %1 \Magento\Customer\CustomerData\SectionSourceInterface
No confirmation needed.,No confirmation needed.
Account already active,Account already active
Invalid confirmation token,شفرة تأكيد خاطئة
The account is locked.,تم اقفال هذا الحساب.
This account is not confirmed.,This account is not confirmed.
Invalid value of "%value" provided for the %fieldName field.,Invalid value of "%value" provided for the %fieldName field.
Please enter a password with at most %1 characters.,يرجى ادخال كلمة المرور بحد اقصى %1 خانة.
Please enter a password with at least %1 characters.,يرجى ادخال كلمة المرور بحد ادنى %1 خانة.
The password can't begin or end with a space.,كلمة المرور لا يمكن أن تبدأ أو تنتهي بمسافة.
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters."
Password cannot be the same as email address.,Password cannot be the same as email address.
This customer already exists in this store.,This customer already exists in this store.
A customer with the same email already exists in an associated website.,A customer with the same email already exists in an associated website.
%fieldName is a required field.,%fieldName حقل مطلوب.
Reset password token mismatch.,Reset password token mismatch.
Reset password token expired.,Reset password token expired.
Please correct the transactional account email type.,Please correct the transactional account email type.
"""%1"" is a required value.","""%1"" is a required value."
Global,عالمي
Per Website,لكل موقع
We can't share customer accounts globally when the accounts share identical email addresses on more than one website.,لا نشارك حسابات العملاء على الصعيد العالمي عندما تكون الحسابات تتطابق في عناوين البريد الإلكتروني في أكثر من موقع على شبكة الإنترنت.
Billing Address,عنوان الفاتورة
Shipping Address,عنوان الشحن
-- Please Select --,--الرجاء الاختيار-
Please enter a valid password reset token.,الرجاء إدخال رمز إعادة تعيين كلمة مرور صالحة.
The password can not begin or end with a space.,كلمة المرور لا يمكن أن تبدأ أو تنتهي بمسافة.
Admin,المدير
ALL GROUPS,جميع المجموعات
"No such entity with %fieldName = %fieldValue, %field2Name = %field2Value","No such entity with %fieldName = %fieldValue, %field2Name = %field2Value"
File can not be saved to the destination folder.,لا يمكن حفظ الملف إلى المجلد الوجهة.
Unable to create directory %1.,Unable to create directory %1.
Destination folder is not writable or does not exists.,Destination folder is not writable or does not exists.
Something went wrong while saving the file.,Something went wrong while saving the file.
Attribute object is undefined,Attribute object is undefined
"""%1"" invalid type entered.","""%1"" invalid type entered."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" contains non-alphabetic or non-numeric characters."
"""%1"" is an empty string.","""%1"" فارغة."
"""%1"" contains non-numeric characters.","""%1"" contains non-numeric characters."
"""%1"" contains non-alphabetic characters.","""%1"" contains non-alphabetic characters."
"""%1"" is not a valid email address.",%1' ليس عنوان بريد إلكتروني صحيحا.
"""%1"" is not a valid hostname.","""%1"" ليس هوست صحيح."
"""%1"" uses too many characters.","""%1"" uses too many characters."
"%value%' looks like an IP address, which is not an acceptable format.","%value%' looks like an IP address, which is not an acceptable format."
%value%' looks like a DNS hostname but we cannot match the TLD against known list.,%value%' looks like a DNS hostname but we cannot match the TLD against known list.
%value%' looks like a DNS hostname but contains a dash in an invalid position.,%value%' looks like a DNS hostname but contains a dash in an invalid position.
%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.,%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.
%value%' looks like a DNS hostname but cannot extract TLD part.,%value%' looks like a DNS hostname but cannot extract TLD part.
%value%' does not look like a valid local network name.,%value%' does not look like a valid local network name.
"%value%' looks like a local network name, which is not an acceptable format.","%value%' looks like a local network name, which is not an acceptable format."
"%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded."
"""%1"" is not a valid URL.","""%1"" ليس رابطًا صحيحاً."
"""%1"" is not a valid date.","""%1"" ليس تاريخ صحيح."
"""%1"" does not fit the entered date format.","""%1"" does not fit the entered date format."
Please enter a valid date between %1 and %2 at %3.,الرجاء إدخال تاريخ صالح بين %1 و %2 في %3.
Please enter a valid date equal to or greater than %1 at %2.,الرجاء إدخال تاريخ صحيح يساوي أو أكبر من %1 في %2.
Please enter a valid date less than or equal to %1 at %2.,الرجاء إدخال تاريخ صحيح أقل من أو يساوي إلى %1 في %2.
"""%1"" is not a valid file extension.","""%1"" is not a valid file extension."
"""%1"" is not a valid file.","""%1"" ليس ملف صالح."
"""%1"" exceeds the allowed file size.","""%1"" اكبر من حجم الملف المسموح به."
"""%1"" is not a valid image format.","""%1"" is not a valid image format."
"""%1"" width exceeds allowed value of %2 px.","""%1"" width exceeds allowed value of %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" height exceeds allowed value of %2 px."
"""%1"" length must be equal or greater than %2 characters.","""%1"" length must be equal or greater than %2 characters."
"""%1"" length must be equal or less than %2 characters.","""%1"" length must be equal or less than %2 characters."
label,التسمية
Please enter a customer email.,الرجاء ادخال بريد العميل.
A customer website ID must be specified when using the website scope.,A customer website ID must be specified when using the website scope.
Customer Group,مجموعات العملاء
You can't delete group "%1".,لا يمكنك حذف مجموعة "%1".
Customer Group already exists.,Customer Group already exists.
Cannot delete group.,لا يمكن حذف مجموعة.
Error during VAT Number verification.,Error during VAT Number verification.
PHP SOAP extension is required.,PHP SOAP extension is required.
VAT Number is valid.,رقم ضريبة القيمة المضافة صحيح.
Please enter a valid VAT number.,الرجاء إدخال رقم صحيح.
Your VAT ID was successfully validated.,Your VAT ID was successfully validated.
You will be charged tax.,You will be charged tax.
You will not be charged tax.,You will not be charged tax.
The VAT ID entered (%1) is not a valid VAT ID.,The VAT ID entered (%1) is not a valid VAT ID.
Your Tax ID cannot be validated.,Your Tax ID cannot be validated.
"If you believe this is an error, please contact us at %1","If you believe this is an error, please contact us at %1"
No such entity with %fieldName = %fieldValue,No such entity with %fieldName = %fieldValue
Male,ذكر
Female,أنثى
Not Specified,غير محدد
Thank you for registering with,شكرا لك للتسجيل في
enter your billing address for proper VAT calculation,enter your billing address for proper VAT calculation
enter your shipping address for proper VAT calculation,قم بإدخال عنوان الشحن لحساب الضريبة المناسبة
Please enter new password.,الرجاء إدخال كلمة مرور جديدة.
message,رسالة
NoSuchEntityException,NoSuchEntityException
Exception,استثناء
InputException.,InputException.
InputException,InputException
Exception message,Exception message
Validator Exception,Validator Exception
Localized Exception,Localized Exception
some error,خطأ ما
frontend_label,frontend_label
NOT LOGGED IN,غير مسجل الدخول
Please enter the state/province.,Please enter the state/province.
region is a required field.,region is a required field.
regionId is a required field.,regionId is a required field.
Label,علامة
Select...,اختر...
Edit,تعديل
Visitor,زائر
Customer,زبون
No item specified.,ولا عنصر المحدد.
Are you sure you want to remove this item?,هل أنت متأكد أنك تريد حذف هذا العنصر؟
Personal Information,المعلومات الشخصية
Last Logged In:,اخر تسجيل للدخول:
Last Logged In (%1):,اخر تسجيل للدخول (%1):
Account Lock:,Account Lock:
Confirmed email:,تأكيد البريد الإلكتروني:
Account Created:,انشاء حساب في:
Account Created on (%1):,انشاء حساب في (%1):
Account Created in:,انشاء حساب في :
Customer Group:,مجموعة العملاء:
Default Billing Address,عنوان الدفع الافتراضي
Sales Statistics,إحصائيات المبيعات
Web Site,موقع
Store,متجر
Store View,عرض المتجر
Lifetime Sales,مبيعات مدى الحياة
Average Sale,متوسط البيع
All Store Views,واجهه جميع المواقع
Change,تغير
Manage Addresses,إدارة العناوين
Default Shipping Address,عنوان الشحن الافتراضي
Contact Information,بيانات الاتصال
Change Password,تغيير كلمة المرور
Newsletters,النشرات البريدية
You are subscribed to "General Subscription".,You are subscribed to "General Subscription".
or,أو
Default Addresses,العناوين الافتراضية
Change Billing Address,تغيير عنوان الدفع
You have no default billing address in your address book.,لا يوجد لديك عنوان فوتورة افتراضي في دفتر العناوين.
Change Shipping Address,تغيير عنوان الشحن
You have no default shipping address in your address book.,لا يوجد لديك عنوان الشحن افتراضي في دفتر العناوين.
Additional Address Entries,إدخالات عناوين إضافية
Delete Address,حذف العنوان
You have no other address entries in your address book.,لا يوجد لديك عنوان اضافي مداخل في دفتر العناوين.
* Required Fields,* حقول مطلوبة
Address,العنوان
Street Address,عنوان الشارع
Street Address %1,عنوان الشارع %1
VAT Number,رقم ضريبة القيمة المضافة
City,المدينة
State/Province,ولاية/محافظة
"Please select a region, state or province.",من فضلك اختر منطقة، ولاية أو محافظة.
Zip/Postal Code,الرمز البريدي
Country,الدولة
It's a default billing address.,It's a default billing address.
Use as my default billing address,استخدم كعنوان الدفع الافتراضي
It's a default shipping address.,It's a default shipping address.
Use as my default shipping address,استخدم كعنوان الشحن الافتراضي
Save Address,حفظ عنوان
Go back,رجوع
Please enter your email below and we will send you the confirmation link.,الرجاء إدخال بريدك الإلكتروني أدناه، وسوف نرسل لك رسالة التاكيد.
Email,البريد الإلكتروني
Send confirmation link,Send confirmation link
Back to Sign In,العودة لتسجيل الدخول
Change Email,تغيير البريد الإلكتروني
Change Email and Password,تغيير كلمة البريد الإلكتروني ولكمة المرور
Current Password,كلمة المرور الحالية
New Password,كلمة المرور الجديدة
Password Strength,قوة كلمة المرور
No Password,لا يوجد كلمة مرور
Confirm New Password,تأكيد كلمة المرور الجديدة
Save,حفظ
Please enter your email address below to receive a password reset link.,الرجاء إدخال عنوان بريدك الإلكتروني أدناه الحصول على رابط إعادة تعيين كلمة مرور.
Reset My Password,إعادة تعيين كلمة المرور الخاصة بي
Registered Customers,الأعضاء المسجلين
"If you have an account, sign in with your email address.",إذا كان لديك حساب، سجل الدخول باستخدام عنوان بريدك الإلكتروني.
Password,كلمة المرور
Forgot Your Password?,هل نسيت كلمة المرور؟
Subscription option,قوائم النشرات البريدية
General Subscription,القائمة العامة
Sign Up for Newsletter,التسجيل في النشرة البريدية
Address Information,معلومات العنوان
Sign-in Information,بيانات الدخول
Confirm Password,تأكيد كلمة المرور
Create an Account,انشاء حساب
Set a New Password,تعيين كلمة مرور جديدة
You have signed out and will go to our homepage in 5 seconds.,تم تسجيل الخروج بنجاح. سيتم تحويلك للصفحة الرئيسية بعد ٥ ثوان.
New Customers,عضو جديد
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.",إنشاء حساب له فوائد عديدة: شراء أسرع، حفظ العناوين، متابعة الطلبات وأشياء أخرى.
Company,الشركة
Fax,فاكس
Gender,النوع
Name,اسم
Tax/VAT number,Tax/VAT number
Phone Number,رقم الهاتف
Welcome to %store_name,مرحبا بك في %store_name
"%name,",%name،
Welcome to %store_name.,مرحبا بك في %store_name.
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:",لتسجيل الدخول إلى موقعنا استخدم بيانات الدخول التالية للشراء أو لإدارة <a href="%customer_url"> عضويتك</a>:
Email:,البريد الالكترونى:
Password:,الرقم السري:
Password you set when creating account,كلمة المرور التي قمت بتعيينها عند إنشاء الحساب
Forgot your account password? Click <a href="%reset_url">here</a> to reset it.,نسيت كلمة مرور حسابك؟ <a href="%reset_url">اضغط هنا</a> لإعادة تعيينها.
"When you sign in to your account, you will be able to:",عند تسجيل الدخول إلى حسابك، سوف تكون قادراً على:
Proceed through checkout faster,أكمل في الشراء الفوري
Check the status of orders,التحقق من حالة الطلب
View past orders,عرض الطلبات السابقة
Store alternative addresses (for shipping to multiple family members and friends),حفظ عناوين بديلة (للشحن إلى العديد من أفراد العائلة والأصدقاء)
Please confirm your %store_name account,تاكيد حسابك في %store_name
You must confirm your %customer_email email before you can sign in (link is only valid once):,يجب عليك تأكيد بريدك الإلكتروني %customer_email قبل أن تتمكن من تسجيل الدخول (الرابط صالح فقط لمرة واحدة):
Confirm Your Account,تأكيد حسابك
Thank you for confirming your %store_name account.,شكرا لك على تأكيد حسابك في %store_name.
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:",لتسجيل الدخول إلى موقعنا وتحديد كلمة المرور، <a href="%customer_url">اضغط هنا</a>:
Your %store_name email has been changed,Your %store_name email has been changed
"Hello,",مرحبا،
We have received a request to change the following information associated with your account at %store_name: email.,We have received a request to change the following information associated with your account at %store_name: email.
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>"
or call us at <a href="tel:%store_phone">%store_phone</a>,أو اتصل بنا على <a href="tel:%store_phone">%store_phone</a>
"Thanks,<br>%store_name",شكرا لك<br>%store_name
Your %store_name email and password has been changed,Your %store_name email and password has been changed
"We have received a request to change the following information associated with your account at %store_name: email, password.","We have received a request to change the following information associated with your account at %store_name: email, password."
Reset your %store_name password,إعادة تعيين كلمة المرور في %store_name
There was recently a request to change the password for your account.,تم طلب تغيير كلمة المرور مؤخراَ.
"If you requested this change, set a new password here:",إذا كنت انت من قام بهذا الطلب، اضغط على هذا الرابط:
"If you did not make this request, you can ignore this email and your password will remain the same.",إذا لم تقم بإجراء هذا الطلب، يمكنك تجاهل هذه الرسالة وكلمة المرور سوف تبقى كما هي.
Your %store_name password has been changed,Your %store_name password has been changed
We have received a request to change the following information associated with your account at %store_name: password.,We have received a request to change the following information associated with your account at %store_name: password.
Checkout as a new customer,Checkout as a new customer
Creating an account has many benefits:,إنشاء حساب له فوائد عديدة:
See order and shipping status,متابعة الطلب وحالة الشحن
Track order history,الاطلاع على طلباتك السابقة
Check out faster,المضي في عملية اسرع
Checkout using your account,Checkout using your account
Email Address,البريد الإلكتروني
Are you sure you want to do this?,هل أنت متأكد أنك تريد فعل ذلك؟
Are you sure you want to delete this address?,هل أنت متأكد أنك تريد حذف هذا العنوان؟
Weak,ضعيف
Medium,متوسطة
Strong,قوي
Very Strong,قوي جداً
Guest checkout is disabled.,الشراء كزائر غير مفعلة في الوقت الحالي.
All Customers,كافة العملاء
Now Online,Now Online
Customers Section,Customers Section
Customer Configuration,ضبط العميل
Account Sharing Options,خيارات مشاركة الحساب
Share Customer Accounts,مشاركة حساب العميل
Create New Account Options,خيارات إنشاء حساب جديد
Enable Automatic Assignment to Customer Group,Enable Automatic Assignment to Customer Group
Tax Calculation Based On,Tax Calculation Based On
Default Group,المجموعة الافتراضية
Group for Valid VAT ID - Domestic,Group for Valid VAT ID - Domestic
Group for Valid VAT ID - Intra-Union,Group for Valid VAT ID - Intra-Union
Group for Invalid VAT ID,Group for Invalid VAT ID
Validation Error Group,Validation Error Group
Validate on Each Transaction,Validate on Each Transaction
Default Value for Disable Automatic Group Changes Based on VAT ID,Default Value for Disable Automatic Group Changes Based on VAT ID
Show VAT Number on Storefront,Show VAT Number on Storefront
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes."
Default Email Domain,البريد الالكتروني الافتراضي النطاق
Default Welcome Email,البريد الإلكتروني الترحيبي الافتراضي
Email template chosen based on theme fallback when "Default" option is selected.,اختيار قالب البريد الإلكتروني استناداً إلى الثيم عند تحديد الخيار "الإفتراضي".
Default Welcome Email Without Password,Default Welcome Email Without Password
"This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","هذه الرسالة يستم ارسالها بدلاً من رسالة الترحيب، إذا قام العميل بإنشاء حسابه بدون كلمة مرور. <br /><br />
                        تمبليت الرسالة المختارة تعتمد على الواجهة اذا تم اختيار الخيار ""الإفتراضي"".<br />."
Email Sender,مرسل البريد الإلكتروني
Require Emails Confirmation,Require Emails Confirmation
Confirmation Link Email,Confirmation Link Email
Welcome Email,الرسالة الترحيبية
"This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected."
Generate Human-Friendly Customer ID,Generate Human-Friendly Customer ID
Password Options,خيارات كلمة المرور
Forgot Email Template,نسيت البريد الالكتروني للقالب
Remind Email Template,Remind Email Template
Reset Password Template,قالب إعادة تعيين كلمة المرور
Password Template Email Sender,Password Template Email Sender
Recovery Link Expiration Period (hours),عمر الصلاحية لرابط الاسترداد (ساعات)
Please enter a number 1 or greater in this field.,الرجاء إدخال رقم 1 أو أكبر في هذا الحقل.
Number of Required Character Classes,Number of Required Character Classes
"Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters.","Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters."
Minimum Password Length,اقل طول لكلمة المرور
Maximum Login Failures to Lockout Account,استنفاذ عدد مرات تسجيل الدخول الخاطئة لتأمين الحساب
Use 0 to disable account locking.,Use 0 to disable account locking.
Lockout Time (minutes),تأمين الوقت (بالدقائق)
Enable Autocomplete on login/forgot password forms,تفعيل الاكمال التلقائي في نموذج تسجيل الدخول/اعادة كلمة المرور
Account Information Options,Account Information Options
Change Email Template,Change Email Template
Change Email and Password Template,Change Email and Password Template
Name and Address Options,Name and Address Options
Number of Lines in a Street Address,عدد الخطوط في عنوان الشارع
Leave empty for default (2). Valid range: 1-4,Leave empty for default (2). Valid range: 1-4
Show Prefix,إظهار البادئة
"The title that goes before name (Mr., Mrs., etc.)","The title that goes before name (Mr., Mrs., etc.)"
Prefix Dropdown Options,Prefix Dropdown Options
Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.,Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.
Show Middle Name (initial),Show Middle Name (initial)
Always optional.,اختياري دائماً.
Show Suffix,إظهار التابعة
"The suffix that goes after name (Jr., Sr., etc.)","The suffix that goes after name (Jr., Sr., etc.)"
Suffix Dropdown Options,Suffix Dropdown Options
Show Date of Birth,تغيير تاريخ الميلاد
Show Tax/VAT Number,Show Tax/VAT Number
Show Gender,Show Gender
Show Telephone,Show Telephone
Show Company,Show Company
Show Fax,Show Fax
Login Options,خيارات تسجيل الدخول
Redirect Customer to Account Dashboard after Logging in,إعادة توجيه العملاء إلى لوحة تحكم الحساب بعد تسجيل الدخول
Customer will stay on the current page if "No" is selected.,Customer will stay on the current page if "No" is selected.
Address Templates,عنوان القالب
Online Customers Options,Online Customers Options
Online Minutes Interval,Online Minutes Interval
Leave empty for default (15 minutes).,Leave empty for default (15 minutes).
Customer Notification,إخطارات العملاء
Customer Grid,Customer Grid
Rebuild Customer grid index,Rebuild Customer grid index
Group,مجموعة
Add New Customer,أضف عميل جديد
Are you sure to delete selected customers?,Are you sure to delete selected customers?
Delete items,حذف عناصر
Subscribe to Newsletter,الاشتراك في القائمة البريدية
Are you sure to unsubscribe selected customers from newsletter?,هل انت متاخد من الغاء اشتراك هذا العميل من قائمة المراسلات؟
Unsubscribe from Newsletter,إلغاء الاشتراك من القائمة البريدية
Assign a Customer Group,Assign a Customer Group
Phone,رقم الهاتف
ZIP,الرمز البريدي
Customer Since,عميل منذ
Confirmed email,تأكيد البريد الإلكتروني
Account Created in,انشاء الحساب في
Tax VAT Number,رقم ضريبة القيمة المضافة
Billing Firstname,Billing Firstname
Billing Lastname,الإسم الأخير للفواتير
Account Lock,Account Lock
First Name,الإسم الأول
Last Name,اسم العائلة
Last Activity,اخر نشاط
Type,النوع
Customer Information,بيانات العميل
"If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site.","If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site."
Disable Automatic Group Change Based on VAT ID,Disable Automatic Group Change Based on VAT ID
Send Welcome Email From,إرسال بريد إلكتروني ترحيبي من
Are you sure you want to delete this item?,هل أنت متأكد أنك تريد حذف هذه المادة؟
Addresses,العنوان
Account Dashboard,لوحة تحكم الحساب
Edit Account Information,تعديل بيانات الحساب
Password forgotten,نسيت كلمة السر
My Dashboard,لوحة التحكم
You are signed out,قمت بتسجيل الخروج
Associate to Website,المنتسبين للموقع
Prefix,البادئة
Middle Name/Initial,إسم الأوسط
Suffix,اللاحقة
Store Credit,نقاط المتجر
Delete Orphan Balances,حذف أرصدة يتيمة
Date,التاريخ
Website,الموقع
Action,إجراء
Balance Change,تغير الرصيد
Balance,الرصيد
Customer notified,تم إعلام العميل
Notified,اشعار
No,لا
More information,المزيد من المعلومات
Update Balance,تحديث الرصيد
An amount on which to change the balance,An amount on which to change the balance
Notify Customer by Email,إعلام العميل عن طريق البريد الإلكتروني
Send Email Notification From the Following Store View,Send Email Notification From the Following Store View
Comment,تعليق
Failed to initialize customer,Failed to initialize customer
The store credit payment has been removed from shopping cart.,The store credit payment has been removed from shopping cart.
You are not using store credit in your shopping cart.,You are not using store credit in your shopping cart.
Please set a website ID.,Please set a website ID.
By admin: %1.,بواسطة المشرف: %1.
By admin: %1. (%2),By admin: %1. (%2)
Please also set the Store ID.,Please also set the Store ID.
